NAME                                      VERSION                TYPE                    
Simple Launcher                           1.1.0.14               dotnet  (+5 duplicates)  
adduser                                   3.134                  deb                      
ag2                                       0.5.3                  python                   
aiofile                                   3.9.0                  python                   
aiofiles                                  24.1.0                 python                   
aiohappyeyeballs                          2.6.1                  python                   
aiohttp                                   3.10.11                python                   
aiolimiter                                1.2.1                  python                   
aiosignal                                 1.3.2                  python                   
aiosqlite                                 0.21.0                 python                   
alembic                                   1.15.2                 python                   
annotated-types                           0.7.0                  python                   
anthropic                                 0.49.0                 python                   
anyio                                     4.9.0                  python                   
apify-client                              1.9.3                  python                   
apify-shared                              1.4.0                  python                   
apipkg                                    2.0.0                  python                   
appdirs                                   1.4.4                  python                   
apt                                       2.6.1                  deb                      
argcomplete                               3.6.2                  python                   
arize-phoenix-otel                        0.9.2                  python                   
asgiref                                   3.8.1                  python                   
assemblyai                                0.35.1                 python                   
astra-assistants                          2.2.11                 python                   
astrapy                                   1.5.2                  python                   
asttokens                                 3.0.0                  python                   
asyncer                                   0.0.8                  python                   
atlassian-python-api                      3.41.16                python                   
attrs                                     25.3.0                 python                   
auth0-python                              4.9.0                  python                   
authlib                                   1.3.1                  python                   
autocommand                               2.2.2                  python  (+1 duplicate)   
backoff                                   2.2.1                  python                   
backports-tarfile                         1.2.0                  python  (+1 duplicate)   
base-files                                12.4+deb12u10          deb                      
base-passwd                               3.6.1                  deb                      
bash                                      5.2.15-2+b7            deb                      
bce-python-sdk                            0.9.29                 python                   
bcrypt                                    4.0.1                  python                   
beautifulsoup4                            4.12.3                 python                   
blinker                                   1.9.0                  python                   
boto3                                     1.34.162               python                   
botocore                                  1.34.162               python                   
bsdutils                                  1:2.38.1-5+deb12u3     deb                      
build                                     1.2.2.post1            python                   
ca-certificates                           20230311               deb                      
cachetools                                5.5.2                  python                   
caio                                      0.9.22                 python                   
cassandra-driver                          3.29.2                 python                   
cassio                                    0.1.10                 python                   
cattrs                                    24.1.3                 python                   
certifi                                   2024.8.30              python                   
cffi                                      1.17.1                 python                   
chardet                                   5.2.0                  python                   
