scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
trivy,docker.io+almalinux@sha256_cd49d7250ed7bb194d502d8a3e50bd775055ca275d1d9c2785aea72b890afe6a,84,135,0.3835616438356164,219,14,84,3,135,117,201
trivy,docker.io+amazonlinux@sha256_1301cc9f889f21dc45733df9e58034ac1c318202b4b0f0a08d88b3fdc03004de,0,0,0.0,0,0,0,0,0,338,338
trivy,docker.io+anchore+test_images@sha256_01c78cee3fe398bf1f77566177770b07f1d2af01753c2434cb0735bd43a078b6,13,4,0.7647058823529411,17,11,13,0,4,1,14
trivy,docker.io+anchore+test_images@sha256_0825acea611c7c5cc792bc7cc20de44d7413fd287dc5afc4aab9c1891d037b4f,0,16,0.0,16,25,0,1,16,0,1
trivy,docker.io+anchore+test_images@sha256_08dbfad2d6af9afe47f7647b0b8f38fd29fc9e89306cfc39c9509981f9388b7f,6,1,0.8571428571428571,7,2,6,0,1,137,143
trivy,docker.io+anchore+test_images@sha256_10008791acbc5866de04108746a02a0c4029ce3a4400a9b3dad45d7f2245f9da,48,19,0.7164179104477612,67,31,48,14,19,19,68
trivy,docker.io+anchore+test_images@sha256_1a5a5f870924e88a6f0f2b8089cf276ef0a79b5244a052cdfe4a47bb9e5a2c10,0,0,0.0,0,249,0,0,0,31,31
trivy,docker.io+anchore+test_images@sha256_347fba6fbfa15d4e11217f9d49bf70a5a6eef35c6c642dc8c5db89115912d0c1,3,0,1.0,3,0,3,0,0,119,122
trivy,docker.io+anchore+test_images@sha256_55c9ba4e24e15c0467a071d93fead0990b8f04bb60b359b4056a997598aa56a1,5,1,0.8333333333333334,6,12,5,0,1,1,6
trivy,docker.io+anchore+test_images@sha256_5763c8a225f950961bf01ddec68e36f18e236130e182f2b9290a6e03b9777bfe,19,2,0.9047619047619048,21,22,19,12,2,20,39
trivy,docker.io+anchore+test_images@sha256_58637f273108e3e9eb4df4d73f7b6b1da303cbbf64f65e65fb7762482f2de63d,3,31,0.08823529411764706,34,15,3,0,31,0,3
trivy,docker.io+anchore+test_images@sha256_6749b1509fc4dd3f2b4e8688325fc5d447751bc9ae3be10c0f1fb92ec062b798,2,1,0.6666666666666666,3,11,2,0,1,3,5
trivy,docker.io+anchore+test_images@sha256_746d31247006cc06434ce91ccf3523b2c230ff6c378ffed7ca1c60bbb48ea86f,559,10,0.9824253075571178,569,8,559,0,10,318,877
trivy,docker.io+anchore+test_images@sha256_7536ee345532f674ec9e448e3768db4e546c48220ba2b6ec9bc9cfbfb3b7b74a,11,3,0.7857142857142857,14,15,11,8,3,147,165
trivy,docker.io+anchore+test_images@sha256_808f6cf3cf4473eb39ff9bb47ead639d2ed71255b75b9b140162b58c6102bcc9,108,27,0.8,135,96,108,34,27,636,772
trivy,docker.io+anchore+test_images@sha256_92f1981518e92bf3712ff95cf342f7f4d5fc83fb93a30a36d7d1204e64342199,4,0,1.0,4,0,4,0,0,8,12
trivy,docker.io+anchore+test_images@sha256_a287a0ff98ac343aa710f4f4258d7198e240e9d416d5c7274663564202f832fb,14,37,0.27450980392156865,51,24,14,0,37,0,14
trivy,docker.io+anchore+test_images@sha256_b2b58a55c0b03c1626d2aaae2add9832208b02124dda7b7b41811e14f0fb272c,0,0,0.0,0,345,0,0,0,38,38
trivy,docker.io+anchore+test_images@sha256_b3534fc2e37943136d5b54e3a58b55d4ccd4363d926cf7aa5bf55a524cf8275b,49,1,0.98,50,391,49,9,1,36,86
trivy,docker.io+anchore+test_images@sha256_ba42ded8613fc643d407a050faf5ab48cfb405ad3ef2015bf6feeb5dff44738d,16,3,0.8421052631578947,19,19,16,10,3,11,27
trivy,docker.io+anchore+test_images@sha256_c27b02c6322180fd8a7a3097d2b430bfdf9ea52ecf136edf258458e82f2c6f21,98,188,0.34265734265734266,286,18,98,12,188,22,120
trivy,docker.io+anchore+test_images@sha256_c8d664b0e728d52f57eeb98ed1899c16d3b265f02ddfb41303d7a16c31e0b0f1,10,6,0.625,16,14,10,3,6,506,519
trivy,docker.io+anchore+test_images@sha256_cf742eca189b02902a0a7926ac3fbb423e799937bf4358b0d2acc6cc36ab82aa,171,4,0.9771428571428571,175,78,171,8,4,1322,1497
trivy,docker.io+anchore+test_images@sha256_d1819e59e89e8ea90073460acb4ebb2ee18ccead9fa880dae91e8fc61b19ca1c,18,6,0.75,24,14,18,11,6,93,111
trivy,docker.io+anchore+test_images@sha256_e25a9a175433c2bfe9c04e6482e6c5eca0491629144c78061763f7f604fdea80,9,18,0.3333333333333333,27,0,9,0,18,39,48
trivy,docker.io+anchore+test_images@sha256_f56164678054e5eb59ab838367373a49df723b324617b1ba6de775749d7f91d4,13,2,0.8666666666666667,15,760,13,0,2,40,53
trivy,docker.io+anchore+test_images@sha256_f8e72da9f67caf90714926e7b21f0da93ca1e528b37a97dffe71e2ec38872a8b,30,27,0.5263157894736842,57,0,30,0,27,63,93
trivy,docker.io+anchore+test_images@sha256_fe242a3a63699425317fba0a749253bceb700fb3d63e7a0f6497f53a587e38c5,16,2,0.8888888888888888,18,10,16,0,2,33,49
trivy,docker.io+centos@sha256_3688aa867eb84332460e172b9250c9c198fdfd8d987605fd53f246f498c60bcf,639,13,0.9800613496932515,652,10,639,1,13,331,970
trivy,docker.io+debian@sha256_81e88820a7759038ffa61cff59dfcc12d3772c3a2e75b7cfe963c952da2ad264,53,22,0.7066666666666667,75,1,53,0,22,2,55
trivy,docker.io+elastic+kibana@sha256_b9e3e52f61e0a347e38eabe80ba0859f859023bc0cc8836410320aa7eb5d3e02,4,4,0.5,8,10,4,0,4,152,156
trivy,docker.io+ghost@sha256_42137b9bd1faf4cdea5933279c48a912d010ef614551aeb0e44308600aa3e69f,59,5,0.921875,64,22,59,1,5,286,345
trivy,docker.io+jenkins+jenkins@sha256_6fd5699ab182b5d23d0e3936de6047edc30955a3a92e01c392d5a2fd583efac0,41,5,0.8913043478260869,46,22,41,20,5,260,315
trivy,docker.io+neo4j@sha256_fcfcbb026e0e538bf66f5fe5c4b2db3dd4931c3aae07f13a5a8c10e979596256,27,5,0.84375,32,7,27,6,5,134,167
trivy,docker.io+oraclelinux@sha256_a06327c0f1d18d753f2a60bb17864c84a850bb6dcbcf5946dd1a8123f6e75495,0,1,0.0,1,0,0,0,1,20,20
trivy,docker.io+python@sha256_5e96e03a493a54904aa8be573fc0414431afb4f47ac58fbffd03b2a725005364,117,60,0.6610169491525424,177,6,117,1,60,47,165
trivy,docker.io+rockylinux@sha256_72afc2e1a20c9ddf56a81c51148ebcbe927c0a879849efe813bee77d69df1dd8,73,139,0.3443396226415094,212,14,73,0,139,105,178
trivy,docker.io+sonatype+nexus3@sha256_e8fea6b4279f2b5b24b36170459cb7aa3d6afe999f9d3e3713541be28bae8ec4,274,10,0.9647887323943662,284,25,274,15,10,685,960
trivy,docker.io+ubuntu@sha256_09f035f46361d193ded647342903b413d57d05cc06acff8285f9dda9f2d269d5,0,1,0.0,1,0,0,0,1,11,11
trivy,docker.io+ubuntu@sha256_9d42d0e3e57bc067d10a75ee33bdd1a5298e95e5fc3c5d1fce98b455cb879249,10,3,0.7692307692307693,13,0,10,0,3,36,46
trivy,registry.access.redhat.com+ubi8@sha256_68fecea0d255ee253acbf0c860eaebb7017ef5ef007c25bee9eeffd29ce85b29,109,12,0.9008264462809917,121,15,109,3,12,286,395
grype,docker.io+almalinux@sha256_cd49d7250ed7bb194d502d8a3e50bd775055ca275d1d9c2785aea72b890afe6a,204,15,0.9315068493150684,219,14,204,4,15,267,472
grype,docker.io+amazonlinux@sha256_1301cc9f889f21dc45733df9e58034ac1c318202b4b0f0a08d88b3fdc03004de,0,0,0.0,0,0,0,0,0,0,0
grype,docker.io+anchore+test_images@sha256_01c78cee3fe398bf1f77566177770b07f1d2af01753c2434cb0735bd43a078b6,16,1,0.9411764705882353,17,11,16,0,1,59,75
grype,docker.io+anchore+test_images@sha256_0825acea611c7c5cc792bc7cc20de44d7413fd287dc5afc4aab9c1891d037b4f,11,5,0.6875,16,25,11,1,5,90,102
grype,docker.io+anchore+test_images@sha256_08dbfad2d6af9afe47f7647b0b8f38fd29fc9e89306cfc39c9509981f9388b7f,6,1,0.8571428571428571,7,2,6,0,1,138,144
grype,docker.io+anchore+test_images@sha256_10008791acbc5866de04108746a02a0c4029ce3a4400a9b3dad45d7f2245f9da,15,52,0.22388059701492538,67,31,15,12,52,27,42
grype,docker.io+anchore+test_images@sha256_1a5a5f870924e88a6f0f2b8089cf276ef0a79b5244a052cdfe4a47bb9e5a2c10,0,0,0.0,0,249,0,0,0,0,0
grype,docker.io+anchore+test_images@sha256_347fba6fbfa15d4e11217f9d49bf70a5a6eef35c6c642dc8c5db89115912d0c1,0,3,0.0,3,0,0,0,3,0,0
grype,docker.io+anchore+test_images@sha256_55c9ba4e24e15c0467a071d93fead0990b8f04bb60b359b4056a997598aa56a1,6,0,1.0,6,12,6,0,0,54,60
grype,docker.io+anchore+test_images@sha256_5763c8a225f950961bf01ddec68e36f18e236130e182f2b9290a6e03b9777bfe,18,3,0.8571428571428571,21,22,18,12,3,35,53
grype,docker.io+anchore+test_images@sha256_58637f273108e3e9eb4df4d73f7b6b1da303cbbf64f65e65fb7762482f2de63d,34,0,1.0,34,15,34,13,0,58,92
grype,docker.io+anchore+test_images@sha256_6749b1509fc4dd3f2b4e8688325fc5d447751bc9ae3be10c0f1fb92ec062b798,3,0,1.0,3,11,3,0,0,28,31
grype,docker.io+anchore+test_images@sha256_746d31247006cc06434ce91ccf3523b2c230ff6c378ffed7ca1c60bbb48ea86f,564,5,0.9912126537785588,569,8,564,0,5,304,868
