NAME                     VERSION                 TYPE   
adduser                  3.134                   deb     
apt                      2.6.1                   deb     
base-files               12.4                    deb     
base-passwd              3.6.1                   deb     
bash                     5.2.15-2+b2             deb     
binutils-common          2.40-2                  deb     
bsdutils                 1:2.38.1-5+deb12u1      deb     
ca-certificates          20230311                deb     
coreutils                9.1-1                   deb     
dash                     0.5.12-2                deb     
dbus                     1.14.10-1~deb12u1       deb     
dbus-bin                 1.14.10-1~deb12u1       deb     
dbus-daemon              1.14.10-1~deb12u1       deb     
dbus-session-bus-common  1.14.10-1~deb12u1       deb     
dbus-system-bus-common   1.14.10-1~deb12u1       deb     
debconf                  1.5.82                  deb     
debian-archive-keyring   2023.3                  deb     
debianutils              5.7-0.4                 deb     
diffutils                1:3.8-4                 deb     
dpkg                     1.21.22                 deb     
e2fsprogs                1.47.0-2                deb     
findutils                4.9.0-4                 deb     
fontconfig-config        2.14.1-4                deb     
fonts-urw-base35         20200910-7              deb     
gcc-12-base              12.2.0-14               deb     
ghostscript              10.0.0~dfsg-11+deb12u5  deb     
gpgv                     2.2.40-1.1              deb     
grep                     3.8-5                   deb     
gzip                     1.12-1                  deb     
hostname                 3.23+nmu1               deb     
init-system-helpers      1.65.2                  deb     
libacl1                  2.3.1-3                 deb     
libapparmor1             3.0.8-3                 deb     
libapt-pkg6.0            2.6.1                   deb     
libattr1                 1:2.5.1-4               deb     
libaudit-common          1:3.0.9-1               deb     
libaudit1                1:3.0.9-1               deb     
libavahi-client-dev      0.8-10                  deb     
libavahi-client3         0.8-10                  deb     
libavahi-common-data     0.8-10                  deb     
libavahi-common-dev      0.8-10                  deb     
libavahi-common3         0.8-10                  deb     
libavahi-glib-dev        0.8-10                  deb     
libavahi-glib1           0.8-10                  deb     
libblkid-dev             2.38.1-5+deb12u1        deb     
libblkid1                2.38.1-5+deb12u1        deb     
libbrotli-dev            1.0.9-2+b6              deb     
libbrotli1               1.0.9-2+b6              deb     
libbsd0                  0.11.7-2                deb     
libbz2-1.0               1.0.8-5+b1              deb     
libc-bin                 2.36-9+deb12u8          deb     
libc-dev-bin             2.36-9+deb12u8          deb     
libc6                    2.36-9+deb12u8          deb     
libc6-dev                2.36-9+deb12u8          deb     
libcairo2                1.16.0-7                deb     
libcap-ng0               0.8.3-1+b3              deb     
libcap2                  1:2.66-4                deb     
libcom-err2              1.47.0-2                deb     
libcrypt-dev             1:4.4.33-2              deb     
libcrypt1                1:4.4.33-2              deb     
libcups2                 2.4.2-3+deb12u7         deb     
libdb5.3                 5.3.28+dfsg2-1          deb     
libdbus-1-3              1.14.10-1~deb12u1       deb     
libdbus-1-dev            1.14.10-1~deb12u1       deb     
libdebconfclient0        0.270                   deb     
libdeflate0              1.14-1                  deb     
libelf1                  0.188-2.1               deb     
libevent-2.1-7           2.1.12-stable-8         deb     
libexif-dev              0.6.24-1+b1             deb     
libexif12                0.6.24-1+b1             deb     
libexpat1                2.5.0-1+deb12u1         deb     
libexpat1-dev            2.5.0-1+deb12u1         deb     
libext2fs2               1.47.0-2                deb     
libffi-dev               3.4.4-1                 deb     
libffi8                  3.4.4-1                 deb     
libfontconfig-dev        2.14.1-4                deb     
libfontconfig1           2.14.1-4                deb     
libfontenc1              1:1.1.4-1               deb     
libfreetype-dev          2.12.1+dfsg-5+deb12u3   deb     
libfreetype6             2.12.1+dfsg-5+deb12u3   deb     
libfreetype6-dev         2.12.1+dfsg-5+deb12u3   deb     
libgcc-s1                12.2.0-14               deb     
libgcrypt20              1.10.1-3                deb     
libglib2.0-0             2.74.6-2+deb12u3        deb     
libglib2.0-bin           2.74.6-2+deb12u3        deb     
libglib2.0-data          2.74.6-2+deb12u3        deb     
libglib2.0-dev           2.74.6-2+deb12u3        deb     
libglib2.0-dev-bin       2.74.6-2+deb12u3        deb     
libgmp-dev               2:6.2.1+dfsg1-1.1       deb     
libgmp10                 2:6.2.1+dfsg1-1.1       deb     
libgmpxx4ldbl            2:6.2.1+dfsg1-1.1       deb     
libgnutls-dane0          3.7.9-2+deb12u3         deb     
libgnutls-openssl27      3.7.9-2+deb12u3         deb     
libgnutls28-dev          3.7.9-2+deb12u3         deb     
libgnutls30              3.7.9-2+deb12u3         deb     
libgnutlsxx30            3.7.9-2+deb12u3         deb     
