NAME                                        VERSION                                    TYPE                         
CodePointIM                                 11.0.16                                    java-archive                  
FileChooserDemo                             11.0.16                                    java-archive                  
Font2DTest                                  11.0.16                                    java-archive                  
HdrHistogram                                2.1.9                                      java-archive                  
J2Ddemo                                     11.0.16                                    java-archive                  
Metalworks                                  11.0.16                                    java-archive                  
Notepad                                     11.0.16                                    java-archive                  
ST4                                         4.0.8                                      java-archive                  
SampleTree                                  11.0.16                                    java-archive                  
Stylepad                                    11.0.16                                    java-archive                  
SwingSet2                                   11.0.16                                    java-archive                  
TableExample                                11.0.16                                    java-archive                  
TransparentRuler                            11.0.16                                    java-archive                  
accessors-smart                             1.2                                        java-archive                  
adduser                                     3.118                                      deb                           
airline                                     0.8                                        java-archive                  
animal-sniffer-annotations                  1.19                                       java-archive                  
annotations                                 13.0                                       java-archive                  
annotations                                 4.1.1.4                                    java-archive                  
ansj_seg                                    5.1.6                                      java-archive                  
antlr-runtime                               3.5.2                                      java-archive                  
aopalliance-repackaged                      3.0.1                                      java-archive                  
api-util                                    1.0.0-M20                                  java-archive                  
apt                                         2.2.4                                      deb                           
arthas-agent-attach                         3.7.1                                      java-archive                  
arthas-packaging                            3.7.1                                      java-archive                  
asm                                         6.0                                        java-archive                  
asm-analysis                                5.0.3                                      java-archive                  
asm-commons                                 5.0.3                                      java-archive                  
asm-tree                                    5.0.3                                      java-archive                  
asm-util                                    5.0.3                                      java-archive                  
ast-9.0                                     9.0.20190305                               java-archive                  
audience-annotations                        0.5.0                                      java-archive                  
avro                                        1.7.7                                      java-archive                  
base-files                                  11.1+deb11u4                               deb                           
base-passwd                                 3.5.51                                     deb                           
bash                                        5.1-2+deb11u1                              deb                           
bolt                                        1.6.4                                      java-archive                  
bsdutils                                    1:2.36.1-8+deb11u1                         deb                           
byte-buddy                                  1.10.5                                     java-archive                  
byte-buddy-agent                            1.11.6                                     java-archive                  
byte-buddy-dep                              1.10.5                                     java-archive                  
ca-certificates                             20210119                                   deb                           
caffeine                                    2.3.1                                      java-archive                  
cassandra-all                               4.0.10                                     java-archive                  
cassandra-driver-core                       3.6.0                                      java-archive                  
checker-qual                                3.5.0                                      java-archive                  
