NAME                                             VERSION                          TYPE                    
@ampproject/toolbox-optimizer                    UNKNOWN                          npm                      
@babel/core                                      UNKNOWN                          npm                      
@babel/runtime                                   7.22.5                           npm                      
@edge-runtime/cookies                            6.0.0                            npm                      
@edge-runtime/ponyfill                           4.0.0                            npm                      
@edge-runtime/primitives                         6.0.0                            npm                      
@hapi/accept                                     UNKNOWN                          npm                      
@img/sharp-libvips-linux-x64                     1.0.4                            npm                      
@img/sharp-libvips-linuxmusl-x64                 1.0.4                            npm                      
@img/sharp-linux-x64                             0.33.5                           npm                      
@img/sharp-linuxmusl-x64                         0.33.5                           npm                      
@isaacs/cliui                                    8.0.2                            npm                      
@isaacs/fs-minipass                              4.0.1                            npm                      
@isaacs/string-locale-compare                    1.1.0                            npm                      
@mswjs/interceptors                              UNKNOWN                          npm                      
@napi-rs/triples                                 UNKNOWN                          npm                      
@next/env                                        15.2.2                           npm                      
@next/font                                       UNKNOWN                          npm                      
@next/swc-linux-x64-gnu                          15.2.2                           npm                      
@next/swc-linux-x64-musl                         15.2.2                           npm                      
@npmcli/agent                                    3.0.0                            npm                      
@npmcli/arborist                                 8.0.0                            npm                      
@npmcli/config                                   9.0.0                            npm                      
@npmcli/fs                                       4.0.0                            npm                      
@npmcli/git                                      6.0.1                            npm                      
@npmcli/installed-package-contents               3.0.0                            npm                      
@npmcli/map-workspaces                           4.0.2                            npm                      
@npmcli/metavuln-calculator                      8.0.1                            npm                      
@npmcli/name-from-folder                         3.0.0                            npm                      
@npmcli/node-gyp                                 4.0.0                            npm                      
@npmcli/package-json                             6.1.0                            npm                      
@npmcli/promise-spawn                            8.0.2                            npm                      
@npmcli/query                                    4.0.0                            npm                      
@npmcli/redact                                   3.0.0                            npm                      
@npmcli/run-script                               9.0.2                            npm                      
@opentelemetry/api                               UNKNOWN                          npm                      
@pkgjs/parseargs                                 0.11.0                           npm                      
@sigstore/bundle                                 3.0.0                            npm                      
@sigstore/core                                   2.0.0                            npm                      
@sigstore/protobuf-specs                         0.3.2                            npm                      
@sigstore/sign                                   3.0.0                            npm                      
@sigstore/tuf                                    3.0.0                            npm                      
@sigstore/verify                                 2.0.0                            npm                      
@swc/counter                                     0.1.3                            npm                      
@swc/helpers                                     0.5.15                           npm                      
@tufjs/canonical-json                            2.0.0                            npm                      
@tufjs/models                                    3.0.1                            npm                      
@vercel/nft                                      UNKNOWN                          npm                      
@vercel/og                                       0.6.5                            npm                      
abbrev                                           2.0.0                            npm                      
abbrev                                           3.0.0                            npm                      
acorn                                            UNKNOWN                          npm                      
adduser                                          3.134                            deb                      
agent-base                                       7.1.1                            npm                      
aggregate-error                                  3.1.0                            npm                      
amphtml-validator                                UNKNOWN                          npm                      
anser                                            UNKNOWN                          npm                      
ansi-regex                                       5.0.1                            npm                      
ansi-regex                                       6.1.0                            npm     (+1 duplicate)   
ansi-styles                                      4.3.0                            npm                      
ansi-styles                                      6.2.1                            npm                      
aproba                                           2.0.0                            npm                      
apt                                              2.6.1                            deb                      
archy                                            1.0.0                            npm                      
assert                                           UNKNOWN                          npm                      
async-retry                                      UNKNOWN                          npm                      
async-sema                                       UNKNOWN                          npm                      
babel-packages                                   UNKNOWN                          npm                      
balanced-match                                   1.0.2                            npm                      
base-files                                       12.4+deb12u10                    deb                      
base-passwd                                      3.6.1                            deb                      
bash                                             5.2.15-2+b7                      deb                      
bin-links                                        5.0.0                            npm                      
binary-extensions                                2.3.0                            npm                      
bootstrap                                        5.3.3                            npm                      
brace-expansion                                  2.0.1                            npm                      
browserify-zlib                                  UNKNOWN                          npm                      
browserslist                                     UNKNOWN                          npm                      
bsdutils                                         1:2.38.1-5+deb12u3               deb                      
buffer                                           UNKNOWN                          npm                      
busboy                                           1.6.0                            npm                      
bytes                                            UNKNOWN                          npm                      
cacache                                          19.0.1                           npm                      
caniuse-lite                                     1.0.30001707                     npm                      
chalk                                            5.3.0                            npm                      
chownr                                           2.0.0                            npm                      
chownr                                           3.0.0                            npm     (+1 duplicate)   
ci-info                                          4.1.0                            npm                      
ci-info                                          UNKNOWN                          npm                      
cidr-regex                                       4.1.1                            npm                      
clean-stack                                      2.2.0                            npm                      
cli-columns                                      4.0.0                            npm                      
cli-select                                       UNKNOWN                          npm                      
client-only                                      0.0.1                            npm     (+1 duplicate)   
cmd-shim                                         7.0.0                            npm                      
color                                            4.2.3                            npm                      
color-convert                                    2.0.1                            npm     (+1 duplicate)   
color-name                                       1.1.4                            npm     (+1 duplicate)   
color-string                                     1.9.1                            npm                      
commander                                        UNKNOWN                          npm                      
comment-json                                     UNKNOWN                          npm                      
common-ancestor-path                             1.0.1                            npm                      
compression                                      UNKNOWN                          npm                      
conf                                             UNKNOWN                          npm                      
constants-browserify                             UNKNOWN                          npm                      
content-disposition                              UNKNOWN                          npm                      
content-type                                     UNKNOWN                          npm                      
cookie                                           UNKNOWN                          npm                      
corepack                                         0.31.0                           npm                      
coreutils                                        9.1-1                            deb                      
cross-spawn                                      7.0.6                            npm                      
cross-spawn                                      UNKNOWN                          npm                      
crypto-browserify                                UNKNOWN                          npm                      
css.escape                                       UNKNOWN                          npm                      
cssesc                                           3.0.0                            npm                      
dash                                             0.5.12-2                         deb                      
data-uri-to-buffer                               UNKNOWN                          npm                      
debconf                                          1.5.82                           deb                      
debian-archive-keyring                           2023.3+deb12u1                   deb                      
debianutils                                      5.7-0.5~deb12u1                  deb                      
debug                                            4.3.7                            npm                      
debug                                            UNKNOWN                          npm                      
detect-libc                                      2.0.3                            npm                      
devalue                                          UNKNOWN                          npm                      
diff                                             5.2.0                            npm                      
diffutils                                        1:3.8-4                          deb                      
domain-browser                                   UNKNOWN                          npm                      
dpkg                                             1.21.22                          deb                      
e2fsprogs                                        1.47.0-2                         deb                      
eastasianwidth                                   0.2.0                            npm                      
edge-runtime                                     UNKNOWN                          npm                      
emoji-regex                                      8.0.0                            npm                      
emoji-regex                                      9.2.2                            npm     (+1 duplicate)   
encoding                                         0.1.13                           npm                      
env-paths                                        2.2.1                            npm                      
err-code                                         2.0.3                            npm                      
events                                           UNKNOWN                          npm                      
exponential-backoff                              3.1.1                            npm                      
fastest-levenshtein                              1.0.16                           npm                      
find-up                                          UNKNOWN                          npm                      
findutils                                        4.9.0-4                          deb                      
foreground-child                                 3.3.0                            npm                      
fresh                                            UNKNOWN                          npm                      
fs-minipass                                      2.1.0                            npm                      
fs-minipass                                      3.0.3                            npm                      
gcc-12-base                                      12.2.0-14                        deb                      
glob                                             10.4.5                           npm                      
glob                                             UNKNOWN                          npm                      
gpgv                                             2.2.40-1.1                       deb                      
graceful-fs                                      4.2.11                           npm                      
grep                                             3.8-5                            deb                      
gzip                                             1.12-1                           deb                      
gzip-size                                        UNKNOWN                          npm                      
hosted-git-info                                  8.0.2                            npm                      
hostname                                         3.23+nmu1                        deb                      
http-cache-semantics                             4.1.1                            npm                      
http-proxy                                       UNKNOWN                          npm                      
http-proxy-agent                                 7.0.2                            npm                      
http-proxy-agent                                 UNKNOWN                          npm                      
https-browserify                                 UNKNOWN                          npm                      
https-proxy-agent                                7.0.5                            npm                      
https-proxy-agent                                UNKNOWN                          npm                      
iconv-lite                                       0.6.3                            npm                      
icss-utils                                       UNKNOWN                          npm                      
ignore-loader                                    UNKNOWN                          npm                      
ignore-walk                                      7.0.0                            npm                      
image-size                                       UNKNOWN                          npm                      
imurmurhash                                      0.1.4                            npm                      
indent-string                                    4.0.0                            npm                      
ini                                              5.0.0                            npm                      
init-package-json                                7.0.2                            npm                      
init-system-helpers                              1.65.2                           deb                      
ip-address                                       9.0.5                            npm                      
ip-regex                                         5.0.0                            npm                      
is-animated                                      UNKNOWN                          npm                      
is-arrayish                                      0.3.2                            npm                      
is-cidr                                          5.1.0                            npm                      
is-docker                                        UNKNOWN                          npm                      
is-fullwidth-code-point                          3.0.0                            npm                      
is-wsl                                           UNKNOWN                          npm                      
isexe                                            2.0.0                            npm                      
isexe                                            3.1.1                            npm                      
