NAME                                                 VERSION                           TYPE                          
HdrHistogram                                         2.1.12                            java-archive                   
HikariCP                                             4.0.3                             java-archive                   
HikariCP-java7                                       2.4.13                            java-archive                   
US_export_policy                                     UNKNOWN                           java-archive  (+1 duplicate)   
UserAgentUtils                                       1.21                              java-archive                   
Windows Service Wrapper                              2.3.0                             dotnet                         
acl                                                  2.2.53-1.el8                      rpm                            
activation                                           1.1                               java-archive                   
aether-api                                           1.1.0                             java-archive                   
aether-spi                                           1.1.0                             java-archive                   
aether-util                                          1.1.0                             java-archive                   
alphanumeric-comparator                              1.4.1                             java-archive                   
animal-sniffer-annotations                           1.19                              java-archive                   
antlr4-runtime                                       4.7.2                             java-archive                   
apache-mime4j-core                                   0.8.9                             java-archive                   
apache-mime4j-dom                                    0.8.9                             java-archive                   
apache-mime4j-storage                                0.8.9                             java-archive                   
archetype-catalog                                    3.2.0                             java-archive                   
atlassian-crowd-rest-client                          1.1                               java-archive                   
audit-libs                                           3.0.7-5.el8                       rpm                            
avahi-libs                                           0.7-21.el8_9.1                    rpm                            
aws-java-sdk-cloudwatch                              1.12.658                          java-archive                   
aws-java-sdk-cloudwatchmetrics                       1.12.658                          java-archive                   
aws-java-sdk-core                                    1.12.658                          java-archive                   
aws-java-sdk-dynamodb                                1.12.658                          java-archive                   
aws-java-sdk-kms                                     1.12.658                          java-archive                   
aws-java-sdk-s3                                      1.12.658                          java-archive                   
aws-java-sdk-sts                                     1.12.658                          java-archive                   
basesystem                                           11-5.el8                          rpm                            
bash                                                 4.4.20-4.el8_6                    rpm                            
bcpg-jdk15to18                                       1.75                              java-archive                   
bcpkix-jdk15to18                                     1.75                              java-archive                   
bcprov-jdk15to18                                     1.75                              java-archive                   
bcutil-jdk15to18                                     1.75                              java-archive                   
brotli                                               1.0.6-3.el8                       rpm                            
btf                                                  1.2                               java-archive                   
byte-buddy                                           1.14.9                            java-archive                   
bzip2-libs                                           1.0.6-26.el8                      rpm                            
ca-certificates                                      2023.2.60_v7.0.306-80.0.el8_8     rpm                            
cache-api                                            1.1.1                             java-archive                   
cdi-api                                              1.2                               java-archive                   
charsets                                             UNKNOWN                           java-archive                   
chkconfig                                            1.19.2-1.el8                      rpm                            
classmate                                            1.5.1                             java-archive                   
cldrdata                                             UNKNOWN                           java-archive                   
commons-beanutils                                    1.9.4                             java-archive                   
commons-cli                                          1.5.0                             java-archive                   
commons-codec                                        1.15                              java-archive                   
commons-codec                                        1.16.0                            java-archive                   
commons-collections                                  3.2.2                             java-archive                   
commons-collections4                                 4.4                               java-archive                   
commons-compress                                     1.24.0                            java-archive                   
commons-csv                                          1.10.0                            java-archive                   
commons-digester                                     2.1                               java-archive                   
commons-email                                        1.5                               java-archive                   
commons-fileupload                                   1.5                               java-archive                   
commons-io                                           2.11.0                            java-archive                   
commons-io                                           2.13.0                            java-archive                   
commons-io                                           2.8.0                             java-archive                   
commons-jexl3                                        3.1                               java-archive                   
commons-lang                                         2.6                               java-archive                   
commons-lang3                                        3.12.0                            java-archive                   
commons-lang3                                        3.13.0                            java-archive                   
commons-validator                                    1.7                               java-archive                   
compress-lzf                                         1.1                               java-archive                   
concurrentlinkedhashmap-lru                          1.4.2                             java-archive                   
copy-jdk-configs                                     4.0-2.el8                         rpm                            
core4j                                               0.5                               java-archive                   
coreutils-single                                     8.30-15.el8                       rpm                            
cracklib                                             2.9.6-15.el8                      rpm                            
cracklib-dicts                                       2.9.6-15.el8                      rpm                            
crypto-policies                                      20230731-1.git3177e06.el8         rpm                            
crypto-policies-scripts                              20230731-1.git3177e06.el8         rpm                            
cryptsetup-libs                                      2.3.7-7.el8                       rpm                            
cups-libs                                            1:2.2.6-54.el8_9                  rpm                            
curl                                                 7.61.1-33.el8_9.5                 rpm                            
cyclonedx-core-java                                  7.3.2                             java-archive                   
cyrus-sasl-lib                                       2.1.27-6.el8_5                    rpm                            
dbus                                                 1:1.12.8-26.el8                   rpm                            
dbus-common                                          1:1.12.8-26.el8                   rpm                            
dbus-daemon                                          1:1.12.8-26.el8                   rpm                            
dbus-libs                                            1:1.12.8-26.el8                   rpm                            
dbus-tools                                           1:1.12.8-26.el8                   rpm                            
device-mapper                                        8:1.02.181-13.el8_9               rpm                            
device-mapper-libs                                   8:1.02.181-13.el8_9               rpm                            
diffutils                                            3.6-6.el8                         rpm                            
directjngine                                         2.2.10-01                         java-archive                   
dnsns                                                UNKNOWN                           java-archive                   
ehcache                                              3.9.3                             java-archive                   
ehcache-107                                          3.9.3                             java-archive                   
ehcache-api                                          3.9.3                             java-archive                   
ehcache-core                                         3.9.3                             java-archive                   
ehcache-impl                                         3.9.3                             java-archive                   
ehcache-xml                                          3.9.3                             java-archive                   
elasticsearch                                        2.4.3                             java-archive                   
elfutils-debuginfod-client                           0.189-3.el8                       rpm                            
elfutils-default-yama-scope                          0.189-3.el8                       rpm                            
elfutils-libelf                                      0.189-3.el8                       rpm                            
elfutils-libs                                        0.189-3.el8                       rpm                            
encoder                                              1.2.3                             java-archive                   
error_prone_annotations                              2.21.1                            java-archive  (+1 duplicate)   
expat                                                2.2.5-11.el8_9.1                  rpm                            
failureaccess                                        1.0.1                             java-archive                   
file-libs                                            5.33-25.el8                       rpm                            
filesystem                                           3.8-6.el8                         rpm                            
findutils                                            1:4.6.0-21.el8                    rpm                            
flyway-core                                          8.5.5                             java-archive                   
freemarker                                           2.3.31                            java-archive                   
freetype                                             2.9.1-9.el8                       rpm                            
gawk                                                 4.2.1-4.el8                       rpm                            
gdbm                                                 1:1.18-2.el8                      rpm                            
gdbm-libs                                            1:1.18-2.el8                      rpm                            
geronimo-activation_1.1_spec                         1.1                               java-archive                   
geronimo-stax-api_1.2_spec                           1.2                               java-archive                   
glib2                                                2.56.4-161.el8                    rpm                            
glibc                                                2.28-236.el8_9.13                 rpm                            
glibc-common                                         2.28-236.el8_9.13                 rpm                            
glibc-gconv-extra                                    2.28-236.el8_9.13                 rpm                            
glibc-langpack-en                                    2.28-236.el8_9.13                 rpm                            
glibc-minimal-langpack                               2.28-236.el8_9.13                 rpm                            
gmp                                                  1:6.1.2-11.el8_8.1                rpm                            
gnupg2                                               2.2.20-3.el8_6                    rpm                            
gnutls                                               3.6.16-8.el8_9.3                  rpm                            
gobject-introspection                                1.56.1-1.el8                      rpm                            
goodies-common                                       2.3.8                             java-archive                   
goodies-i18n                                         2.3.8                             java-archive                   
goodies-lifecycle                                    2.3.8                             java-archive                   
gossip-bootstrap                                     1.8                               java-archive                   
gossip-support                                       1.8                               java-archive                   
gpg-pubkey                                           d4082792-5b32db75                 rpm                            
gpg-pubkey                                           fd431d51-4ae0493b                 rpm                            
gpgme                                                1.13.1-11.el8                     rpm                            
grep                                                 3.1-6.el8                         rpm                            
groovy                                               3.0.19                            java-archive                   
groovy-astbuilder                                    3.0.19                            java-archive                   
groovy-cli-commons                                   3.0.19                            java-archive                   
groovy-datetime                                      3.0.19                            java-archive                   
groovy-dateutil                                      3.0.19                            java-archive                   
groovy-jmx                                           3.0.19                            java-archive                   
groovy-json                                          3.0.19                            java-archive                   
groovy-jsr223                                        3.0.19                            java-archive                   
groovy-macro                                         3.0.19                            java-archive                   
groovy-nio                                           3.0.19                            java-archive                   
groovy-sql                                           3.0.19                            java-archive                   
groovy-templates                                     3.0.19                            java-archive                   
groovy-xml                                           3.0.19                            java-archive                   
gson                                                 2.9.0                             java-archive  (+1 duplicate)   
guava                                                32.1.1-jre                        java-archive                   
guice                                                6.0.0                             java-archive                   
guice-assistedinject                                 6.0.0                             java-archive                   
guice-servlet                                        6.0.0                             java-archive                   
gzip                                                 1.9-13.el8_5                      rpm                            
h2                                                   1.4.200                           java-archive                   
hibernate-validator                                  6.2.0.Final                       java-archive                   
hppc                                                 0.7.1                             java-archive                   
httpclient                                           4.5.13                            java-archive  (+1 duplicate)   
httpcore                                             4.4.10                            java-archive                   
httpcore                                             4.4.13                            java-archive                   
i4jruntime                                           UNKNOWN                           java-archive                   
indexer-reader                                       5.1.2-202109                      java-archive                   
info                                                 6.5-7.el8                         rpm                            
insight-rm-common                                    1.170.0-01                        java-archive                   
insight-scanner-core                                 2.36.66-01                        java-archive                   
insight-scanner-hashing-asm71                        1.20.0-01                         java-archive                   
insight-scanner-manifest-model                       2.36.66-01                        java-archive                   
insight-scanner-model                                2.36.66-01                        java-archive                   
insight-scanner-model-io                             2.36.66-01                        java-archive                   
istack-commons-runtime                               3.0.10                            java-archive                   
itu                                                  1.7.0                             java-archive                   
jaccess                                              UNKNOWN                           java-archive                   
jackson-annotations                                  2.17.0                            java-archive                   
jackson-core                                         2.17.0                            java-archive                   
jackson-coreutils                                    1.6                               java-archive                   
jackson-databind                                     2.17.0                            java-archive                   
jackson-dataformat-cbor                              2.17.0                            java-archive                   
jackson-dataformat-smile                             2.17.0                            java-archive                   
jackson-dataformat-xml                               2.14.2                            java-archive                   
jackson-dataformat-yaml                              2.17.0                            java-archive                   
jackson-datatype-jdk8                                2.17.0                            java-archive                   
jackson-datatype-joda                                2.17.0                            java-archive                   
jackson-datatype-jsr310                              2.17.0                            java-archive                   
jackson-jaxrs-base                                   2.17.0                            java-archive                   
jackson-jaxrs-json-provider                          2.17.0                            java-archive                   
jackson-jaxrs-smile-provider                         2.17.0                            java-archive                   
jackson-module-jaxb-annotations                      2.17.0                            java-archive                   
jakarta.el                                           3.0.4                             java-archive                   
jakarta.inject-api                                   2.0.1                             java-archive                   
jakarta.mail                                         1.6.5                             java-archive                   
jakarta.validation-api                               2.0.2                             java-archive                   
jakarta.xml.bind-api                                 2.3.3                             java-archive                   
jansi                                                2.4.0                             java-archive                   
java-1.8.0-openjdk-headless                          1:1.8.0.412.b08-2.el8             rpm                            
java-jwt                                             3.16.0                            java-archive                   
java-semver                                          0.9.0                             java-archive                   
java-spdx-library                                    1.1.7                             java-archive                   
javapackages-filesystem                              5.3.0-1.module+el8+2447+6f56d9a6  rpm                            
javassist                                            3.29.2-GA                         java-archive                   
javax.annotation-api                                 1.2                               java-archive                   
javax.annotation-api                                 1.3.2                             java-archive                   
javax.el-api                                         3.0.0                             java-archive                   
javax.interceptor-api                                1.2                               java-archive                   
javax.mail                                           1.6.2                             java-archive                   
javax.servlet-api                                    3.1.0                             java-archive                   
jaxb-api                                             2.2.11                            java-archive                   
jaxb-runtime                                         2.3.3                             java-archive                   
jboss-jaxb-api_2.3_spec                              2.0.1.Final                       java-archive                   
jboss-jaxrs-api_2.1_spec                             2.0.1.Final                       java-archive                   
jce                                                  1.8.0_412                         java-archive                   
jcip-annotations                                     1.0-1                             java-archive                   
jcl-over-slf4j                                       1.7.32                            java-archive                   
jdom2                                                2.0.6.1                           java-archive                   
jetty-client                                         9.4.53.v20231009                  java-archive                   
jetty-continuation                                   9.4.53.v20231009                  java-archive                   
jetty-deploy                                         9.4.53.v20231009                  java-archive                   
jetty-http                                           9.4.53.v20231009                  java-archive                   
jetty-io                                             9.4.53.v20231009                  java-archive                   
jetty-jmx                                            9.4.53.v20231009                  java-archive                   
jetty-proxy                                          9.4.53.v20231009                  java-archive                   
jetty-rewrite                                        9.4.53.v20231009                  java-archive                   
