NAME                          VERSION                         TYPE                    
Simple Launcher               1.1.0.14                        dotnet  (+5 duplicates)  
adduser                       3.134                           deb                      
alembic                       1.13.1                          python                   
apt                           2.6.1                           deb                      
authlib                       1.2.1                           python                   
autoconf                      2.71-3                          deb                      
automake                      1:1.16.5-1.3                    deb                      
autotools-dev                 20220109.1                      deb                      
azure-common                  1.1.28                          python                   
azure-core                    1.30.1                          python                   
azure-identity                1.13.0                          python                   
azure-mgmt-core               1.4.0                           python                   
azure-mgmt-rdbms              10.1.0                          python                   
azure-mgmt-resource           23.0.1                          python                   
azure-mgmt-subscription       3.1.1                           python                   
babel                         2.14.0                          python                   
base-files                    12.4+deb12u5                    deb                      
base-passwd                   3.6.1                           deb                      
bash                          5.2.15-2+b2                     deb                      
bcrypt                        4.0.1                           python                   
bidict                        0.23.1                          python                   
binutils                      2.40-2                          deb                      
binutils-common               2.40-2                          deb                      
binutils-x86-64-linux-gnu     2.40-2                          deb                      
blinker                       1.7.0                           python                   
boto3                         1.28.85                         python                   
botocore                      1.31.85                         python                   
brotli                        1.1.0                           python                   
bsdutils                      1:2.38.1-5+b1                   deb                      
bzip2                         1.0.8-5+b1                      deb                      
ca-certificates               20230311                        deb                      
cachetools                    5.3.3                           python                   
certifi                       2024.2.2                        python                   
cffi                          1.16.0                          python                   
charset-normalizer            3.3.2                           python                   
click                         8.1.7                           python                   
comerr-dev                    2.1-1.47.0-2                    deb                      
coreutils                     9.1-1                           deb                      
cpp                           4:12.2.0-3                      deb                      
cpp-12                        12.2.0-14                       deb                      
cryptography                  41.0.7                          python                   
curl                          7.88.1-10+deb12u5               deb                      
dash                          0.5.12-2                        deb                      
debconf                       1.5.82                          deb                      
debian-archive-keyring        2023.3+deb12u1                  deb                      
debianutils                   5.7-0.5~deb12u1                 deb                      
default-libmysqlclient-dev    1.1.0                           deb                      
diffutils                     1:3.8-4                         deb                      
dirmngr                       2.2.40-1.1                      deb                      
dnspython                     2.6.1                           python                   
dpkg                          1.21.22                         deb                      
dpkg-dev                      1.21.22                         deb                      
