NAME                                VERSION                             TYPE                       
@esbuild/linux-x64                  0.25.1                              npm                         
@isaacs/cliui                       8.0.2                               npm                         
@isaacs/fs-minipass                 4.0.1                               npm                         
@isaacs/string-locale-compare       1.1.0                               npm                         
@npmcli/agent                       3.0.0                               npm                         
@npmcli/arborist                    8.0.0                               npm                         
@npmcli/config                      9.0.0                               npm                         
@npmcli/fs                          4.0.0                               npm                         
@npmcli/git                         6.0.1                               npm                         
@npmcli/installed-package-contents  3.0.0                               npm                         
@npmcli/map-workspaces              4.0.2                               npm                         
@npmcli/metavuln-calculator         8.0.1                               npm                         
@npmcli/name-from-folder            3.0.0                               npm                         
@npmcli/node-gyp                    4.0.0                               npm                         
@npmcli/package-json                6.1.0                               npm                         
@npmcli/promise-spawn               8.0.2                               npm                         
@npmcli/query                       4.0.0                               npm                         
@npmcli/redact                      3.0.0                               npm                         
@npmcli/run-script                  9.0.2                               npm                         
@pkgjs/parseargs                    0.11.0                              npm                         
@rollup/rollup-linux-x64-gnu        4.37.0                              npm                         
@rollup/rollup-linux-x64-musl       4.37.0                              npm                         
@sigstore/bundle                    3.0.0                               npm                         
@sigstore/core                      2.0.0                               npm                         
@sigstore/protobuf-specs            0.3.2                               npm                         
@sigstore/sign                      3.0.0                               npm                         
@sigstore/tuf                       3.0.0                               npm                         
@sigstore/verify                    2.0.0                               npm                         
@tufjs/canonical-json               2.0.0                               npm                         
@tufjs/models                       3.0.1                               npm                         
@types/estree                       1.0.6                               npm                         
abbrev                              2.0.0                               npm                         
abbrev                              3.0.0                               npm                         
adduser                             3.134                               deb                         
agent-base                          7.1.1                               npm                         
aggregate-error                     3.1.0                               npm                         
ansi-regex                          5.0.1                               npm                         
ansi-regex                          6.1.0                               npm        (+1 duplicate)   
ansi-styles                         4.3.0                               npm                         
ansi-styles                         6.2.1                               npm                         
aproba                              2.0.0                               npm                         
apt                                 2.6.1                               deb                         
archy                               1.0.0                               npm                         
balanced-match                      1.0.2                               npm                         
base-files                          12.4+deb12u10                       deb                         
base-passwd                         3.6.1                               deb                         
bash                                5.2.15-2+b7                         deb                         
bin-links                           5.0.0                               npm                         
binary-extensions                   2.3.0                               npm                         
brace-expansion                     2.0.1                               npm                         
bsdutils                            1:2.38.1-5+deb12u3                  deb                         
cacache                             19.0.1                              npm                         
chalk                               5.3.0                               npm                         
chownr                              2.0.0                               npm                         
chownr                              3.0.0                               npm        (+1 duplicate)   
